"Unique Barcode",Description,Category,Brand,Supplier,"System Warehouse","Scanned Warehouse","System Location","Scanned Location","Audit Status",Outbounded,"Unit Cost","Scanned Date"
29647955-6,"Laptop Keyboard Lenovo S10","Laptop Keyboard",Lenovo,Imports,"LPO HQ-BUFFER",,KEYB24(FLIP),,MISSING,no,500.00,
51480821-5,"Laptop Keyboard Lenovo 100-15IBY","Laptop Keyboard",Lenovo,Imports,"LPO HQ-BUFFER",,KEYB23(FLIP),,MISSING,no,500.00,
90191487-3,"Laptop Keyboard Asus X202E","Laptop Keyboard",ASUS,Imports,"LPO HQ-BUFFER",,KEYB23(FLIP),,MISSING,no,167.90,
43279055-13,"Led Screen 11.6 30 Pins Slim Side Bracket HD","Led Screen","No Brand","All Star","LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,833.12,
43279055-19,"Led Screen 11.6 30 Pins Slim Side Bracket HD","Led Screen","No Brand","All Star","LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,833.12,
75959590-1,"Led Screen 13.3 30 Pins Slim Side Bracket HD","Led Screen","No Brand",Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1698.89,
75959590-2,"Led Screen 13.3 30 Pins Slim Side Bracket HD","Led Screen","No Brand",Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1698.89,
78194849-5,"Laptop Charger Magsafe 2 45W T Style","Laptop Charger",Macbook,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,900.00,
47754761-1,"Led Screen 14 30 Pins Frame Type CCFL","Led Screen","No Brand",Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1994.60,
47754761-2,"Led Screen 14 30 Pins Frame Type CCFL","Led Screen","No Brand",Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1994.60,
AC342YP-67,"Laptop Charger Acer 19V 3.42A Yellow Pin","Laptop Charger",Acer,Liz,"LPO HQ-BUFFER",,"BUFFER BOX 1",,MISSING,no,149.84,
LE325BO-230,"Laptop Charger Lenovo 20V 3.25A Bullet Pin Original","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,340.74,
83788446-7,"Laptop Keyboard Acer E5-473","Laptop Keyboard",Acer,Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,160.26,
83788446-6,"Laptop Keyboard Acer E5-473","Laptop Keyboard",Acer,Imports,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,160.26,
11700444-31,"Laptop Battery Macbook A1280","Laptop Battery",Macbook,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1000.00,
12517477-1,"Laptop Keyboard Acer EX215 TYPE B","Laptop Keyboard",Acer,Imports,"LPO HQ-BUFFER",,KB002(BOX),,MISSING,no,176.05,
